id,name,price,original_price,rating_average,review_count,author,category_path,quantity_sold,inventory_status,specifications
104611536,Ngẫm - Việt An Khương,59000,80000,4.8,13,,Sách tiếng Việt > Sách văn học > Truyện ngắn - Tản văn - Tạp Văn > Truyện ngắn - Tản văn - Tạp Văn Việt Nam,438,available,Tên đơn vị/tổ chức chịu trách nhiệm về hàng hóa: SBOOKS | Công ty phát hành: SBOOKS | Ngày xuất bản: 2021-05-31 22:57:12 | Phiên bản: Tiếng việt | Loại bìa: Bìa mềm | Số trang: 146 | Nhà xuất bản: Nhà Xuất Bản Văn Học
77105707,Ngọn Đèn Không Tắt - Tập Truyện Ngắn (Nguyễn Ngọc Tư),46000,65000,4.8,13,Nguyễn Ngọc Tư,Sách tiếng Việt > Sách văn học > Truyện ngắn - Tản văn - Tạp Văn > Truyện ngắn - Tản văn - Tạp Văn Việt Nam,229,available,Phiên bản sách: Phiên bản thường | Công ty phát hành: NXB Trẻ | Ngày xuất bản: 2020-02-01 00:00:00 | Kích thước: 13 x 20 cm | Loại bìa: Bìa mềm | Số trang: 76 | Nhà xuất bản: NXB Trẻ
75639706,"Kế Hoạch Quản Lý Tài Chính Cá Nhân - ""Phương Pháp 9 Bước Để Đặt Được Tự Do Tài Chính""",170100,189000,5,30,Vicky Robin,Sách tiếng Việt > Sách kinh tế > Sách tài chính > Tài chính cá nhân,156,available,Công ty phát hành: BIZBOOKS | Ngày xuất bản: 2021-01-12 00:00:00 | Kích thước: 13 x 20.5 cm | Dịch Giả: Nguyệt Minh | Loại bìa: Bìa mềm | Số trang: 540 | Phương thức giao hàng Seller Delivery: Nhà bán giao hàng cho khách hàng | Nhà xuất bản: Nhà Xuất Bản Hồng Đức
69644752,Toàn Thư Chiêm Tinh Học Nhập Môn,273000,350000,5,34,Joanna Martine Woolfolk,Sách tiếng Việt > Sách Kiến Thức Tổng Hợp > Sách Chiêm Tinh - Horoscope > Chiêm Tinh Học,156,available,Công ty phát hành: Saigon Books | Ngày xuất bản: 2020-10-01 00:00:00 | Kích thước: 20.5 x 23.5 cm | Dịch Giả: Nguyễn Ngọc Hân | Loại bìa: Bìa cứng | Số trang: 508 | Phương thức giao hàng Seller Delivery: Nhà bán giao hàng cho khách hàng | Nhà xuất bản: Nhà Xuất Bản Thế Giới
52329765,Biên Niên Ký Chim Vặn Dây Cót (Tái Bản 2020),179100,199000,4.8,32,Haruki Murakami,Sách tiếng Việt > Sách văn học > Tiểu Thuyết > Tiểu Thuyết Phương Đông,125,available,Công ty phát hành: Nhã Nam | Ngày xuất bản: 2020-03-01 00:00:00 | Kích thước: 15.5 x 24 cm | Loại bìa: Bìa mềm | Số trang: 720 | Phương thức giao hàng Seller Delivery: Nhà bán giao hàng cho khách hàng | Nhà xuất bản: Nhà Xuất Bản Hội Nhà Văn
49747007,Hai Mặt Của Gia Đình,78400,98000,5,63,Choi Kwanghuyn,Sách tiếng Việt > Sách kỹ năng sống > Sách tư duy - Kỹ năng sống,359,available,Công ty phát hành: AZ Việt Nam | Ngày xuất bản: 2020-03-02 00:00:00 | Kích thước: 14.5 x 20.5 cm | Loại bìa: Bìa mềm | Số trang: 290 | Phương thức giao hàng Seller Delivery: Nhà bán giao hàng cho khách hàng | Nhà xuất bản: Nhà Xuất Bản Thanh Niên
32415084,Combo 2 cuốn Giáo Trình Hán Ngữ (Sách học Tiếng Trung dành cho người Việt): Giáo Trình Hán Ngữ Tập 1 + Giáo Trình Hán Ngữ Tập 2 (Học bằng App McBooks) - Tặng kèm bookmark GreenLife,195200,244000,0,0,Đại học Ngôn ngữ Bắc Kinh,Sách tiếng Việt > Sách Học Ngoại Ngữ > Sách Học Tiếng Hoa > Giáo trình Hán ngữ,2,available,Công ty phát hành: MCBOOKS | Loại bìa: Bìa mềm | Nhà xuất bản: Nhà Xuất Bản Hà Nội
23416722,How The Body Works - Hiểu Hết Về Cơ Thể,249000,300000,4.8,68,Phạm Hằng Nguyên,Sách tiếng Việt > Sách Y Học > Sách Y Học Khác,312,available,Công ty phát hành: Nhã Nam | Ngày xuất bản: 2019-07-01 00:00:00 | Kích thước: 19.5 x 23 cm | Loại bìa: Bìa mềm | Số trang: 220 | Phương thức giao hàng Seller Delivery: Nhà bán giao hàng cho khách hàng
19274773,Di Sản Hồ Chí Minh - Những Mẩu Chuyện Về Đời Hoạt Động Của Chủ Tịch Hồ Chí Minh (Tái Bản),64600,80000,4.5,6,Trần Dân Tiên,Sách tiếng Việt > Sách Chính Trị - Pháp Lý > Lý Luận Chính Trị > Chủ nghĩa xã hội - Tư tưởng Hồ Chí Minh,139,available,Công ty phát hành: NXB Trẻ | Kích thước: 13 x 20.5 cm | Loại bìa: Bìa mềm | Số trang: 183 | Nhà xuất bản: NXB Trẻ
8121633,Văn Minh Vật Chất Của Người Việt,214500,330000,5,199,Phan Cẩm Thượng,Sách tiếng Việt > Sách kỹ năng sống > Sách tư duy - Kỹ năng sống,1937,available,Phiên bản sách: Phiên bản thường | Công ty phát hành: Zenbooks | Ngày xuất bản: 2018-12-01 00:00:00 | Kích thước: 18 x 24 cm | Loại bìa: Bìa mềm | Số trang: 656 | Nhà xuất bản: Nhà Xuất Bản Thế Giới
277441651,Hòa Âm Và Sáng Tác: Từ Khám Phá Đến Sáng Tạo,169000,229000,0,0,nhieu tac gia,Sách tiếng Việt > Điện Ảnh - Nhạc - Họa > Âm Nhạc - Điện Ảnh > Âm nhạc - điện ảnh - khác,16,available,Công ty phát hành: Phương Nam Book | Ngày xuất bản: 2025-03-03 16:21:52 | Loại bìa: Bìa mềm | Số trang: 288 | Nhà xuất bản: Nhà Xuất Bản Thế Giới
277408901,Nhân Sinh Tự Tại Một Kiếp Bình An,102000,135000,5,3,SOUL,Sách tiếng Việt > Sách kỹ năng sống > Sách tư duy - Kỹ năng sống,34,available,Công ty phát hành: Glow Books | Ngày xuất bản: 2025-05-03 00:00:00 | Kích thước: 13x20 cm | Loại bìa: Bìa mềm | Số trang: 296 | Nhà xuất bản: Nhà Xuất Bản Dân Trí
277360193,Spy X Family Tập 12 [Tặng Kèm Standee PVC],24600,25000,5,3,Tatsuya Endo,"Sách tiếng Việt > Truyện Tranh, Manga, Comic",54,available,"Công ty phát hành: Nhà Xuất Bản Kim Đồng | Ngày xuất bản: 2025-02-17 00:00:00 | Kích thước: 11,3x17,6 cm | Loại bìa: Bìa mềm | Nhà xuất bản: Nhà Xuất Bản Kim Đồng"
276841001,Kiếm tiền cùng chatGPT - Vào nghề ChatGPT chỉ trong 5 giờ học,143000,199000,5,1,Học Viện Văn Họa AIGC,Sách tiếng Việt > Sách kinh tế > Sách kỹ năng làm việc,50,available,Công ty phát hành: VanLangBooks | Ngày xuất bản: 2024-12-19 00:00:00 | Dịch Giả: Lê Tiến Thành dịch - George Nguyễn hiệu đính | Loại bìa: Bìa mềm | Số trang: 300 | Nhà xuất bản: Nhà Xuất Bản Hồng Đức
276642618,Tuần Làm Việc 4 Giờ (Tái Bản),102500,139000,4.8,415,Timothy Ferris,Sách tiếng Việt > Sách kinh tế > Sách kỹ năng làm việc,3839,available,Phiên bản sách: Phiên bản thường | Công ty phát hành: Thái Hà | Ngày xuất bản: 2021-05-15 00:00:00 | Kích thước: 15.5 x 24 cm | Dịch Giả: Thu Hương | Loại bìa: Bìa mềm | Số trang: 342 | Nhà xuất bản: Nhà Xuất Bản Lao Động
276451419,Sách Nuôi Dưỡng Tâm Hồn - Bộ Hươu Cao Cổ - 6 Tập (Lẻ tuỳ chọn),32000,32000,0,0,Viện Giáo Dục Shichida Việt Nam,Sách tiếng Việt > Sách thiếu nhi  > Truyện kể cho bé,9,available,Ngôn ngữ: Tiếng Việt | Công ty phát hành: Công ty CP Thương mại Puma Books Việt Nam | Ngày xuất bản: 2024-01-02 15:17:16 | Loại bìa: Bìa mềm | Số trang: 20 | Nhà xuất bản: NXB Dân Trí
276110965,Kỷ Niệm 50 Năm Ngày Giải Phóng Miền Nam Thống Nhất Đất Nước - 50 Năm Thiên Anh Hùng Ca Giải Phóng,65250,87000,5,2,Vũ Kim Yến,Sách tiếng Việt > Sách Lịch sử > Lịch Sử Việt Nam,48,available,Công ty phát hành: VIETNAMBOOK | Ngày xuất bản: 2024-09-10 14:04:40 | Loại bìa: Bìa mềm tay gấp | Số trang: 172 | Nhà xuất bản: Nhà Xuất Bản Hà Nội
276107155,Lịch sử Việt Nam bằng hình - Gần 2000 minh họa tranh ảnh và bản đồ,720000,900000,5,23,Đông A,Sách tiếng Việt > Sách Lịch sử > Lịch Sử Việt Nam,197,available,Công ty phát hành: Đông A | Kích thước: 25 x 30 | Loại bìa: Bìa cứng | Số trang: 660 | Nhà xuất bản: Nhà Xuất Bản Đại Học Sư Phạm
275946537,Sổ Tay Tâm Lý Học: 100 Khám Phá Cơ Bản Về Tâm Trí Con Người,75100,95000,0,0,Trần Lâm,Sách tiếng Việt > Sách kỹ năng sống > Sách tâm lý học > Sách tâm lý học - khác,98,available,Bookcare: Có | Công ty phát hành: Vitalis | Kích thước: 13x18cm | Dịch Giả: Thu Phương | Loại bìa: Bìa mềm | Số trang: 208 | Nhà xuất bản: Nhà Xuất Bản Thế Giới
275243821,1 thắng 9 bại - Câu chuyện khởi nghiệp và gây dựng thương hiệu của ông chủ UNIQLO - tỷ phú giàu nhất Nhật Bản,81600,120000,5,12,Tadashi Yanai,Sách tiếng Việt > Sách kinh tế > Bài học kinh doanh,237,available,Công ty phát hành: NXB Trẻ | Ngày xuất bản: 2024-06-12 00:00:00 | Kích thước: 15.5 x 23 cm | Loại bìa: Bìa mềm | Số trang: 208 | Nhà xuất bản: NXB Trẻ
275178313,Lười - Một lần Lười bằng Mười than thuốc bổ,126000,165000,4.6,15,Celeste Headlee,Sách tiếng Việt > Sách kỹ năng sống > Sách tư duy - Kỹ năng sống,192,available,Bookcare: Có | Công ty phát hành: Công ty Cổ phần Văn hóa và Công nghệ Tuệ Tri | Ngày xuất bản: 2024-06-01 00:00:00 | Kích thước: 14.5x20.5cm | Dịch Giả: Nguyễn Như Uyển Linh | Loại bìa: Bìa mềm | Số trang: 312 | Nhà xuất bản: Nhà Xuất Bản Phụ Nữ
274931616,Tiếng Anh 9 i-Learn Smart World - Workbook (Sách bài tập),70000,70000,5,5,nhieu tac gia,English Books > Education - Teaching > Teaching - Learning > Middle School: Grades 6 - 9,238,available,Công ty phát hành: CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM | Nhà xuất bản: Nhà Xuất Bản Đại Học Sư Phạm TPHCM | Ngày xuất bản: 2024-04-04 09:03:44 | ISBN-13: 9786043093926 | Loại bìa: Bìa mềm | Số trang: 76
272226138,Homo Deus Lược Sử Tương Lai,162000,225000,4.6,19,Yuval Noah Harari,Sách tiếng Việt > Sách kỹ năng sống > Sách kỹ năng mềm > Nghệ thuật sống,267,available,Công ty phát hành: Nhã Nam | Kích thước: 15 x 24 cm | Dịch Giả: Dương Ngọc Trà | Loại bìa: Bìa mềm | Số trang: 512 | Nhà xuất bản: Nhà Xuất Bản Thế Giới
271808190,Bức Tranh Kỳ Quái,122000,165000,4.8,49,Uketsu,Sách tiếng Việt > Sách văn học > Truyện kinh dị,446,available,Phiên bản sách: Phiên bản thường | Công ty phát hành: Công Ty Cổ Phần Văn Hóa Huy Hoàng | Ngày xuất bản: 2023-09-15 00:00:00 | Kích thước: 13x18.5cm | Dịch Giả: Trần Phương Hằng | Loại bìa: Bìa mềm | Số trang: 388 | Nhà xuất bản: Nhà Xuất Bản Phụ Nữ
270660514,Nghệ Thuật Quyến Rũ,140000,215000,4.8,397,Robert Greene,Sách tiếng Việt > Sách kỹ năng sống > Sách tư duy - Kỹ năng sống,4926,available,Phiên bản sách: Phiên bản thường | Công ty phát hành: NXB Trẻ | Ngày xuất bản: 2023-08-17 00:00:00 | Kích thước: 16 x 24 cm | Dịch Giả: Vũ Thị Thu Nhi | Loại bìa: Bìa mềm | Số trang: 664 | Nhà xuất bản: NXB Trẻ
249374002,Hãy Chăm Sóc Mẹ,85600,106000,4.8,86,Shin Kyung-sook,Sách tiếng Việt > Sách văn học > Truyện ngắn - Tản văn - Tạp Văn > Truyện ngắn - Tản văn - Tạp Văn Nước Ngoài,945,available,Phiên bản sách: Phiên bản thường | Công ty phát hành: Nhã Nam | Ngày xuất bản: 2023-04-04 00:00:00 | Kích thước: 14 x 20.5cm | Dịch Giả: Lê Hiệp Lâm - Lê Nguyễn Lê | Loại bìa: Bìa mềm | Số trang: 323 | Nhà xuất bản: Nhà Xuất Bản Hà Nội
207968695,Chủ nghĩa Tư bản và Tự do – Capitalism and Freedom,153000,200000,4.8,93,Milton Friedman,Sách tiếng Việt > Sách kinh tế > Sách tài chính > Sách tài chính - khác,983,available,Phiên bản sách: Phiên bản thường | Công ty phát hành: Nhã Nam | Kích thước: 20.5 x 14 cm | Dịch Giả: Trần Trọng Hải MInh | Loại bìa: Bìa mềm | Số trang: 367 | Nhà xuất bản: Nhà Xuất Bản Thế Giới
207642726,Được Học,136500,182000,0,0,Tara Westover,Sách tiếng Việt > Sách văn học > Tiểu sử - Hồi ký,8,available,Công ty phát hành: NXB Phụ Nữ | Loại bìa: Bìa mềm | Số trang: 446 | Nhà xuất bản: Nhà Xuất Bản Phụ Nữ
195801645,Thực Học Của Inamori Kazuo: Quản Trị Và Kế Toán,63000,95000,5,26,Inamori Kazuo,Sách tiếng Việt > Sách kinh tế > Sách tài chính > Kế toán,779,available,Phiên bản sách: Phiên bản thường | Công ty phát hành: NXB Trẻ | Ngày xuất bản: 2022-08-08 00:00:00 | Kích thước: 13 x 20.5 cm | Dịch Giả: Nguyễn Đỗ An Nhiên | Loại bìa: Bìa mềm | Số trang: 168 | Nhà xuất bản: NXB Trẻ
194017145,"Đề Kiểm Tra Toán 7 Thường xuyên, Giữa kì, Cuối Kì ( Bám Sát Sách Giáo Khoa Kết Nối Tri Thức Với Cuộc Sống )",43520,68000,5,7,Trịnh Văn Bằng,Sách tiếng Việt > Sách Tham Khảo > Sách tham khảo cấp II,87,available,Công ty phát hành: Nhà Sách Hồng Ân | Loại bìa: Bìa mềm | Số trang: 167 | Nhà xuất bản: Nhà Xuất Bản Đại Học Quốc Gia Hà Nội
186876107,Cởi Trói Linh Hồn (Tái bản 2022),89300,124000,4.8,36,Michael A.Singer,Sách tiếng Việt > Sách kỹ năng sống > Sách tư duy - Kỹ năng sống,763,available,Phiên bản sách: Phiên bản thường | Công ty phát hành: First News - Trí Việt | Ngày xuất bản: 2023-05-29 00:00:00 | Kích thước: 14.5 x 20.5 cm | Dịch Giả: Bùi Thị Ngoc Hương | Số trang: 304 | Nhà xuất bản: Nhà Xuất Bản Tổng hợp TP.HCM
174215347,Ajin - Boxset Số 3 (Tập 13 - 17) - Tặng Kèm Bookmark 3D,150000,270000,4.8,231,Sakurai Gamon,"Sách tiếng Việt > Truyện Tranh, Manga, Comic",1583,available,"Phiên bản sách: Phiên bản thường | Công ty phát hành: NXB Trẻ | Ngày xuất bản: 2022-04-04 00:00:00 | Kích thước: 11,3 x 17,6 cm | Dịch Giả: Phương Phương | Loại bìa: Bìa mềm | Số trang: 300 | Nhà xuất bản: NXB Trẻ"
