id,name,price,original_price,rating_average,review_count,author,quantity_sold,inventory_status,Công ty phát hành,Loại bìa,Số trang,Ngày xuất bản,main_category,sub_category_1,sub_category_2,sub_category_3,sub_category_4,page_range,quantity_range,rating_range
658826,Lốc 10 Cuốn Tập Kẻ Ngang Campus B5 Repete - Mẫu Ngẫu Nhiên (120 Trang),182000,182000,4.8,50,Không rõ,214,available,Không rõ,Không có,Không rõ,,Văn phòng phẩm,Tập vở các loại,Tập 4 ô ly,,,Không rõ,0-2500,4 sao
277345340,Lời nói chạm đến tim khách hàng,74400,120000,0,0,Ngô Phàm,2,available,Minh Long,Bìa mềm,360,,Sách tiếng Việt,Sách kỹ năng sống,Sách tư duy - Kỹ năng sống,,,1-500,0-2500,0 sao
276919864,Bộ sách Bách khoa toàn thư về các loại mẫu hình biểu đồ (Gồm 3 cuốn) - Happy Live,1497000,1497000,5,9,Thomas N. Bulkowski,46,available,CÔNG TY TNHH HAPPY LIVE,Bìa cứng áo ôm,2038,12/24/24,Sách tiếng Việt,Sách kinh tế,Sách tài chính,Đầu tư,,1500+,0-2500,5 sao
276174668,Những Con Mèo Sau Bức Tường Hoa,49500,69000,5,1,Hà Mi,14,available,Nhà xuất bản Phụ Nữ Việt Nam,Bìa mềm,176,,Sách tiếng Việt,Sách thiếu nhi,Truyện kể cho bé,,,1-500,0-2500,5 sao
275006668,Rèn luyện Kỹ Năng Sống dành cho học sinh - 25 thói quen tốt để thành công,88900,88900,0,0,Trương Thúy Hà,0,out_of_stock,Không rõ,Không có,Không rõ,,Sách tiếng Việt,Sách thiếu nhi,Đạo đức - Kỹ năng sống,,,Không rõ,0-2500,0 sao
274926600,Động Lực Và Nhân Cách,145000,195000,5,1,Abraham H. Maslow,58,available,Bách Việt,Bìa mềm,472,04/01/24,Sách tiếng Việt,Sách kinh tế,"Sách quản trị, lãnh đạo",,,1-500,0-2500,5 sao
274842313,[MỚI] Bút Sơn Acrylic Marker Deli THÊM 80% MỰC - 12/24/36/48/64 Màu Tô Trên Mọi Chất Liệu DIY Vẽ Giày Vải Chai Lọ Nhựa,30000,54000,4.8,27,Không rõ,352,available,Không rõ,Không có,Không rõ,,Văn phòng phẩm,Bút Chì Màu - Bút Lông Màu - Sáp Màu,Bút Lông Màu,Bút lông cứng,,Không rõ,0-2500,4 sao
274663950,Sám Pháp Địa Xúc,101000,101000,5,68,Thích Nhất Hạnh,0,out_of_stock,Không rõ,Không có,Không rõ,,Sách tiếng Việt,Sách Tôn Giáo - Tâm Linh,,,,Không rõ,0-2500,5 sao
273708793,Trí tuệ cảm xúc cao: Cách giao tiếp giúp bạn chinh phục lòng người,107000,145000,5,2,Tiêu Tương Ngân,30,available,Công ty CP Sách Bizbooks,Bìa mềm,256,,Sách tiếng Việt,Sách kỹ năng sống,Sách kỹ năng mềm,Kỹ Năng Giao Tiếp,,1-500,0-2500,5 sao
270233573,Sống Khoẻ Mạnh Không Phụ Thuộc Vào Thuốc,87600,129000,5,3,Ryoko Chiba,41,available,Thái Hà,Bìa mềm,288,06/06/23,Sách tiếng Việt,Sách Y Học,Sách Y Học Khác,,,1-500,0-2500,5 sao
267339628,"Siêu hình tình yêu, siêu hình sự chết",53100,68000,4.8,6,Arthur Schopenhauer,57,available,Nhã Nam,Bìa mềm,207,01/01/23,Sách tiếng Việt,Sách kỹ năng sống,Sách tư duy - Kỹ năng sống,,,1-500,0-2500,4 sao
198822734,1000 câu hỏi rèn luyện IQ - CQ - Thử tài sáng tạo tập 1 (6-12 tuổi) (Sách bản quyền),51900,78000,4.5,2,Vương Văn,57,available,Nhà sách Minh Thắng,Bìa mềm,80,08/01/22,Sách tiếng Việt,Sách thiếu nhi,Kiến thức - Bách khoa,,,1-500,0-2500,4 sao
198820209,1000 Câu Hỏi Rèn Luyện IQ - CQ - Đột Phá Tư Duy Tập 1 (6-12 Tuổi) (Sách Bản Quyền),51900,78000,0,0,Vương Văn,46,available,Nhà sách Minh Thắng,Bìa mềm,80,08/08/22,Sách tiếng Việt,Sách thiếu nhi,Kiến thức - Bách khoa,,,1-500,0-2500,0 sao
197964799,Chạy Bộ Đến Già - Tại Sao Không?,105000,150000,5,14,Andrew Kastor,135,available,Pandabooks,Bìa mềm,232,01/01/22,Sách tiếng Việt,Thể Dục - Thể Thao,Chạy bộ,,,1-500,0-2500,5 sao
196142106,Kĩ năng đọc thông minh - Biến thông tin thành sức mạnh,58900,95000,4.6,8,Instant Research Institude,74,available,Minh Long,Bìa mềm,272,08/18/22,Sách tiếng Việt,Sách kỹ năng sống,Sách tư duy - Kỹ năng sống,,,1-500,0-2500,4 sao
190861557,Yêu Những Ngày Nắng Chẳng Ghét Những Ngày Mưa,59000,132000,5,915,Kulzsc,5841,available,Skybooks,Bìa mềm,168,07/01/22,Sách tiếng Việt,Điện Ảnh - Nhạc - Họa,Sách Tô Màu Dành Cho Người Lớn,,,1-500,5000-10000,5 sao
